key,security_type,trading_hours_type,listing_market,main_code_flag,ths_code
169:A,ES,1,N,0,A.N
169:AA,ES,1,N,0,AA.N
169:AAA,CE,1,P,0,AAA.P
169:AAAC,CE,1,P,0,AAAC.P
169:AAMI,ES,1,N,0,AAMI.N
169:AAP,ES,1,N,0,AAP.N
169:AAT,ES,1,N,0,AAT.N
169:AAUC,ES,1,N,0,AAUC.N
169:AB,ES,1,N,0,AB.N
169:ABBV,ES,1,N,0,ABBV.N
169:ABCB,ES,1,N,0,ABCB.N
169:ABEQ,CE,1,P,0,ABEQ.P
169:ABEV,ED,1,N,0,ABEV.N
169:ABG,ES,1,N,0,ABG.N
169:ABM,ES,1,N,0,ABM.N
169:ABNY,CE,1,P,0,ABNY.P
169:ABR,ES,1,N,0,ABR.N
169:ABRpD,EP,1,N,0,ABRPRD.N
169:ABRpE,EP,1,N,0,ABRPRE.N
169:ABRpF,EP,1,N,0,ABRPRF.N
169:ABT,ES,1,N,0,ABT.N
169:ABX,ES,1,N,0,ABX.N
169:ACA,ES,1,N,0,ACA.N
169:ACCO,ES,1,N,0,ACCO.N
169:ACEI,CE,1,P,0,ACEI.P
169:ACEL,ES,1,N,0,ACEL.N
169:ACES,CE,1,P,0,ACES.P
169:ACGR,CE,1,P,0,ACGR.P
169:ACH,ES,1,N,0,ACH.N
169:ACHR,ES,1,N,0,ACHR.N
169:ACHR.WS,RW,1,N,0,ACHR.WS.N
169:ACI,ES,1,N,0,ACI.N
169:ACII,CE,1,P,0,ACII.P
169:ACKY,CE,1,P,0,ACKY.P
169:ACLC,CE,1,P,0,ACLC.P
169:ACLO,CE,1,N,0,ACLO.N
169:ACM,ES,1,N,0,ACM.N
169:ACN,ES,1,N,0,ACN.N
169:ACP,ES,1,N,0,ACP.N
169:ACPpA,EP,1,N,0,ACPPRA.N
169:ACR,ES,1,N,0,ACR.N
169:ACRE,ES,1,N,0,ACRE.N
169:ACRpC,EP,1,N,0,ACRPRC.N
169:ACRpD,EP,1,N,0,ACRPRD.N
169:ACV,ES,1,N,0,ACV.N
169:ACVA,ES,1,N,0,ACVA.N
169:ACVF,CE,1,P,0,ACVF.P
169:ACVT,CE,1,P,0,ACVT.P
169:ACYN,CE,1,P,0,ACYN.P
169:AD,ES,1,N,0,AD.N
169:ADC,ES,1,N,0,ADC.N
169:ADCT,ES,1,N,0,ADCT.N
169:ADCpA,ER,1,N,0,ADCPRA.N
169:ADIV,CE,1,P,0,ADIV.P
169:ADM,ES,1,N,0,ADM.N
169:ADNT,ES,1,N,0,ADNT.N
169:ADPV,CE,1,P,0,ADPV.P
169:ADT,ES,1,N,0,ADT.N
169:ADVE,CE,1,P,0,ADVE.P
169:ADX,ES,1,N,0,ADX.N
169:AEE,ES,1,N,0,AEE.N
169:AEG,ES,1,N,0,AEG.N
169:AEM,ES,1,N,0,AEM.N
169:AEO,ES,1,N,0,AEO.N
169:AER,ES,1,N,0,AER.N
169:AERO,ED,1,N,0,AERO.N
169:AES,ES,1,N,0,AES.N
169:AESI,ES,1,N,0,AESI.N
169:AETH,CE,1,P,0,AETH.P
169:AEXA,ES,1,N,0,AEXA.N
169:AFB,ES,1,N,0,AFB.N
169:AFG,ES,1,N,0,AFG.N
169:AFIX,CE,1,P,0,AFIX.P
169:AFK,CE,1,P,0,AFK.P
169:AFL,ES,1,N,0,AFL.N
169:AFLG,CE,1,P,0,AFLG.P
169:AFMC,CE,1,P,0,AFMC.P
169:AFSM,CE,1,P,0,AFSM.P
169:AG,ES,1,N,0,AG.N
169:AGBK,ES,1,N,0,AGBK.N
169:AGCO,ES,1,N,0,AGCO.N
169:AGD,ES,1,N,0,AGD.N
169:AGG,CE,1,P,0,AGG.P
169:AGGH,CE,1,P,0,AGGH.P
169:AGGS,CE,1,P,0,AGGS.P
169:AGGY,CE,1,P,0,AGGY.P
169:AGI,ES,1,N,0,AGI.N
169:AGIQ,CE,1,P,0,AGIQ.P
169:AGL,ES,1,N,0,AGL.N
169:AGM,ES,1,N,0,AGM.N
169:AGM.A,ES,1,N,0,AGM.A.N
169:AGMpD,EP,1,N,0,AGMPRD.N
169:AGMpE,EP,1,N,0,AGMPRE.N
169:AGMpF,EP,1,N,0,AGMPRF.N
169:AGMpG,EP,1,N,0,AGMPRG.N
169:AGMpH,EP,1,N,0,AGMPRH.N
169:AGO,ES,1,N,0,AGO.N
169:AGOX,CE,1,P,0,AGOX.P
169:AGQ,CE,1,P,0,AGQ.P
169:AGQI,CE,1,P,0,AGQI.P
169:AGRH,CE,1,P,0,AGRH.P
169:AGRO,ES,1,N,0,AGRO.N
169:AGRW,CE,1,P,0,AGRW.P
169:AGX,ES,1,N,0,AGX.N
169:AGZ,CE,1,P,0,AGZ.P
169:AHLT,CE,1,P,0,AHLT.P
169:AHLpD,EP,1,N,0,AHLPRD.N
169:AHLpE,ER,1,N,0,AHLPRE.N
169:AHLpF,ER,1,N,0,AHLPRF.N
169:AHR,ES,1,N,0,AHR.N
169:AHRT,ES,1,N,0,AHRT.N
169:AHRTpA,EP,1,N,0,AHRTPRA.N
169:AHT,ES,1,N,0,AHT.N
169:AHTpD,EP,1,N,0,AHTPRD.N
169:AHTpF,EP,1,N,0,AHTPRF.N
169:AHTpG,EP,1,N,0,AHTPRG.N
169:AHTpH,EP,1,N,0,AHTPRH.N
169:AHTpI,EP,1,N,0,AHTPRI.N
169:AHYB,CE,1,P,0,AHYB.P
169:AI,ES,1,N,0,AI.N
169:AIBD,CE,1,P,0,AIBD.P
169:AIBU,CE,1,P,0,AIBU.P
